IP,MAC,Vendor,Hostname,OS,HTTP,HTTPS,FTP,SSH,SMB,MySQL,RDP,DNS,Telnet,Portas
192.168.0.1,50:d4:f7:19:6d:99,"TP-LINK TECHNOLOGIES CO.,LTD.",ARCHER_C5,"Linux/Unix (Servidor: FTP, SSH, Telnet, DNS, Web HTTP, SMB, SMB)",Sim,,Sim,Sim,Sim,,,Sim,Sim,"21(TCP): sem banner, 22(TCP): sem banner, 23(TCP): sem banner, 139(TCP): sem banner, 53(TCP): sem banner, 68(UDP): sem resposta, 69(UDP): sem resposta, 161(UDP): sem resposta, 123(UDP): sem resposta, 162(UDP): sem resposta, 500(UDP): sem resposta, 80(TCP): HTTP/1.1 500 Internal Server Error
Content-Type: text/html; charset=utf-8
Content-Length: 130
Set-Cookie: JSESSIONID=deleted; Expires=Thu, 01 Jan 1970 00:00:01 GMT; Path=/; HttpOnly
Connection: close

<html><head><title>500 Internal Server Error</title></head><body><center><h1>500 Internal Server Error</h1></center></body></html>, 445(TCP): sem banner, 53(UDP): sem resposta, 67(UDP): sem resposta, 514(UDP): sem resposta"
192.168.0.3,18:0d:2c:34:43:ee,Intelbras,N/A,"Linux/Unix (Servidor: DNS, Web HTTP)",Sim,,,,,,,Sim,,"53(UDP): sem resposta, 67(UDP): sem resposta, 69(UDP): sem resposta, 68(UDP): sem resposta, 162(UDP): sem resposta, 123(UDP): sem resposta, 80(TCP): sem banner, 514(UDP): sem resposta, 161(UDP): sem resposta, 500(UDP): sem resposta"
192.168.0.7,18:0d:2c:34:43:f0,Intelbras,N/A,"Linux/Unix (Servidor: DNS, Web HTTP)",Sim,,,,,,,Sim,,"53(UDP): sem resposta, 67(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta, 161(UDP): sem resposta, 123(UDP): sem resposta, 80(TCP): sem banner, 500(UDP): sem resposta, 162(UDP): sem resposta, 514(UDP): sem resposta"
192.168.0.23,b8:ac:6f:fc:ec:d9,Dell Inc.,WIN-A4DE9AFN6A4,"Windows (Servidor: FTP, DNS, Web HTTP, SMB, SMB, MySQL)",Sim,,Sim,,Sim,Sim,,Sim,,"21(TCP): sem banner, 139(TCP): sem banner, 445(TCP): sem banner, 3306(TCP): sem banner, 135(TCP): sem banner, 80(TCP): HTTP/1.1 200 OK
Cache-Control: private
Content-Length: 5324
Content-Type: text/html; charset=utf-8
Server: Microsoft-IIS/8.0
X-AspNet-Version: 4.0.30319
X-Powered-By: ASP.NET
Date: Fri, 22 Aug 2025 13:29:01 GMT
Connection: close, 514(UDP): sem resposta, 500(UDP): sem resposta, 162(UDP): sem resposta, 161(UDP): sem resposta, 123(UDP): sem resposta, 69(UDP): sem resposta, 67(UDP): sem resposta, 53(UDP): sem resposta, 68(UDP): sem resposta"
192.168.0.100,50:d4:f7:19:62:fc,"TP-LINK TECHNOLOGIES CO.,LTD.",N/A,Desconhecido (Servidor: DNS),,,,,,,,Sim,,"53(UDP): sem resposta, 67(UDP): sem resposta, 68(UDP): sem resposta, 514(UDP): sem resposta, 500(UDP): sem resposta, 162(UDP): sem resposta, 69(UDP): sem resposta, 161(UDP): sem resposta, 123(UDP): sem resposta"
192.168.0.102,30:e1:f1:2c:de:d2,Intelbras,N/A,"Linux/Unix (Servidor: DNS, Web HTTP)",Sim,,,,,,,Sim,,"67(UDP): sem resposta, 53(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta, 123(UDP): sem resposta, 162(UDP): sem resposta, 80(TCP): sem banner, 500(UDP): sem resposta, 514(UDP): sem resposta, 161(UDP): sem resposta"
192.168.0.103,00:31:92:82:7c:08,TP-Link Systems Inc,N/A,Desconhecido (Servidor: DNS),,,,,,,,Sim,,"68(UDP): sem resposta, 123(UDP): sem resposta, 500(UDP): sem resposta, 161(UDP): sem resposta, 162(UDP): sem resposta, 514(UDP): sem resposta, 53(UDP): sem resposta, 67(UDP): sem resposta, 69(UDP): sem resposta"
192.168.0.104,c8:9c:dc:cf:3b:a7,"Elitegroup Computer Systems Co.,Ltd.",tati,"Windows (Servidor: DNS, SMB, SMB)",,,,,Sim,,,Sim,,"139(TCP): sem banner, 445(TCP): sem banner, 135(TCP): sem banner, 53(UDP): sem resposta, 67(UDP): sem resposta, 162(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta, 123(UDP): sem resposta, 161(UDP): sem resposta, 514(UDP): sem resposta, 500(UDP): sem resposta"
192.168.0.107,0a:e0:af:ae:00:11,Desconhecido,Erick,"Windows (Servidor: DNS, Web HTTP, Web HTTPS, SMB, SMB, MySQL)",Sim,Sim,,,Sim,Sim,,Sim,,"139(TCP): sem banner, 445(TCP): sem banner, 443(TCP): HTTP/1.1 400 Bad Request
Date: Fri, 22 Aug 2025 13:29:28 GMT
Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12
Content-Length: 468
Connection: close
Content-Type: text/html; charset=iso-8859-1

<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>400 Bad Request</title>
</head><body>
<h1>Bad Request</h1>
<p>Your browser sent a request that this server could not understand.<br />
Reason: You're speaking plain HTTP to an SSL-enabled server port.<br />
 Instead use the HTTPS scheme to access this URL, please.<br />
</p>
<hr>
<address>Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 Server at www.example.com Port 443</address>
</body></html>, 80(TCP): HTTP/1.1 302 Found
Date: Fri, 22 Aug 2025 13:29:28 GMT
Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12
X-Powered-By: PHP/8.2.12
Location: http:///dashboard/
Connection: close
Content-Type: text/html; charset=UTF-8, 3306(TCP): sem banner, 135(TCP): sem banner, 53(UDP): sem resposta, 67(UDP): sem resposta, 69(UDP): sem resposta, 123(UDP): sem resposta, 68(UDP): sem resposta, 162(UDP): sem resposta, 161(UDP): sem resposta, 514(UDP): sem resposta, 500(UDP): sem resposta"
192.168.0.108,0a:e0:af:c1:0e:73,Desconhecido,SUPORTE,"Windows (Servidor: DNS, SMB, SMB)",,,,,Sim,,,Sim,,"139(TCP): sem banner, 445(TCP): sem banner, 53(UDP): sem resposta, 135(TCP): sem banner, 67(UDP): sem resposta, 69(UDP): sem resposta, 161(UDP): sem resposta, 514(UDP): sem resposta, 68(UDP): sem resposta, 123(UDP): sem resposta, 162(UDP): sem resposta, 500(UDP): sem resposta"
192.168.0.109,50:e5:49:fa:60:45,"GIGA-BYTE TECHNOLOGY CO.,LTD.",BALCAO,"Windows (Servidor: DNS, SMB, SMB)",,,,,Sim,,,Sim,,"135(TCP): sem banner, 139(TCP): sem banner, 53(UDP): sem resposta, 445(TCP): sem banner, 67(UDP): sem resposta, 68(UDP): sem resposta, 514(UDP): sem resposta, 162(UDP): sem resposta, 161(UDP): sem resposta, 123(UDP): sem resposta, 69(UDP): sem resposta, 500(UDP): sem resposta"
192.168.0.110,50:55:81:74:86:85,Desconhecido,N/A,Linux/Unix (Servidor: DNS),,,,,,,,Sim,,"68(UDP): sem resposta, 53(UDP): sem resposta, 67(UDP): sem resposta, 69(UDP): sem resposta, 123(UDP): sem resposta, 161(UDP): sem resposta, 162(UDP): sem resposta, 500(UDP): sem resposta, 514(UDP): sem resposta"
192.168.0.114,a4:ba:db:05:e3:6a,Dell Inc.,cabral,"Windows (Servidor: DNS, SMB, SMB)",,,,,Sim,,,Sim,,"139(TCP): sem banner, 445(TCP): sem banner, 135(TCP): sem banner, 69(UDP): sem resposta, 68(UDP): sem resposta, 500(UDP): sem resposta, 123(UDP): sem resposta, 67(UDP): sem resposta, 514(UDP): sem resposta, 162(UDP): sem resposta, 53(UDP): sem resposta, 161(UDP): sem resposta"
192.168.0.120,b8:ac:6f:fc:ec:d8,Dell Inc.,N/A,Linux/Unix (Servidor: DNS),,,,,,,,Sim,,"67(UDP): sem resposta, 69(UDP): sem resposta, 68(UDP): sem resposta, 53(UDP): sem resposta, 123(UDP): sem resposta, 161(UDP): sem resposta, 500(UDP): sem resposta, 514(UDP): sem resposta, 162(UDP): sem resposta"
192.168.0.127,58:10:8c:83:0b:c6,Intelbras,N/A,"Linux/Unix (Servidor: DNS, Web HTTP)",Sim,,,,,,,Sim,,"53(UDP): sem resposta, 67(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta, 123(UDP): sem resposta, 162(UDP): sem resposta, 80(TCP): HTTP/1.0 200 OK, 500(UDP): sem resposta, 514(UDP): sem resposta, 161(UDP): sem resposta"
192.168.0.137,00:e0:4e:d0:84:a9,"SANYO DENKI CO., LTD.",xande,"Windows (Servidor: DNS, SMB, SMB, RDP)",,,,,Sim,,Sim,Sim,,"139(TCP): sem banner, 445(TCP): sem banner, 3389(TCP): sem banner, 135(TCP): sem banner, 53(UDP): sem resposta, 514(UDP): sem resposta, 162(UDP): sem resposta, 123(UDP): sem resposta, 161(UDP): sem resposta, 500(UDP): sem resposta, 69(UDP): sem resposta, 67(UDP): sem resposta, 68(UDP): sem resposta"
192.168.0.154,18:0d:2c:00:ae:91,Intelbras,N/A,"Linux/Unix (Servidor: DNS, Web HTTP)",Sim,,,,,,,Sim,,"53(UDP): sem resposta, 68(UDP): sem resposta, 67(UDP): sem resposta, 69(UDP): sem resposta, 500(UDP): sem resposta, 123(UDP): sem resposta, 80(TCP): HTTP/1.0 200 OK, 514(UDP): sem resposta, 161(UDP): sem resposta, 162(UDP): sem resposta"
192.168.0.128,60:f6:77:74:c2:00,Intel Corporate,DAVID,"Windows (Servidor: DNS, Web HTTP, SMB, SMB, MySQL)",Sim,,,,Sim,Sim,,Sim,,"445(TCP): sem banner, 3306(TCP): sem banner, 135(TCP): sem banner, 53(UDP): sem resposta, 139(TCP): sem banner, 80(TCP): HTTP/1.1 302 Found
Date: Fri, 22 Aug 2025 13:30:12 GMT
Server: Apache/2.4.46 (Win64) PHP/7.4.12
X-Powered-By: PHP/7.4.12
location: foodprint_novo/
Connection: close
Content-Type: text/html; charset=UTF-8, 67(UDP): sem resposta, 161(UDP): sem resposta, 514(UDP): sem resposta, 123(UDP): sem resposta, 162(UDP): sem resposta, 500(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta"
192.168.0.181,3e:0c:a3:64:27:33,Desconhecido,N/A,Linux/Unix (Servidor: DNS),,,,,,,,Sim,,"67(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta, 162(UDP): sem resposta, 161(UDP): sem resposta, 53(UDP): sem resposta, 500(UDP): sem resposta, 514(UDP): sem resposta, 123(UDP): sem resposta"
192.168.0.124,da:3f:c6:54:f6:25,Desconhecido,N/A,Linux/Unix (Servidor: DNS),,,,,,,,Sim,,"67(UDP): sem resposta, 123(UDP): sem resposta, 161(UDP): sem resposta, 500(UDP): sem resposta, 53(UDP): sem resposta, 68(UDP): sem resposta, 69(UDP): sem resposta, 162(UDP): sem resposta, 514(UDP): sem resposta"
192.168.0.112,d6:52:98:ce:25:3e,Desconhecido,N/A,Linux/Unix (Servidor: DNS),,,,,,,,Sim,,"67(UDP): sem resposta, 53(UDP): sem resposta, 68(UDP): sem resposta, 162(UDP): sem resposta, 69(UDP): sem resposta, 123(UDP): sem resposta, 161(UDP): sem resposta, 500(UDP): sem resposta, 514(UDP): sem resposta"
192.168.0.161,28:ed:e0:7f:d2:e3,"AMPAK Technology, Inc.",N/A,Linux/Unix (Servidor: DNS),,,,,,,,Sim,,"53(UDP): sem resposta, 67(UDP): sem resposta, 69(UDP): sem resposta, 161(UDP): sem resposta, 123(UDP): sem resposta, 68(UDP): sem resposta, 162(UDP): sem resposta, 514(UDP): sem resposta, 500(UDP): sem resposta"
